,Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
214,LSTM,0.1,1,ExperimentalLR,MAE,12.219799041748049,8,AdamW,1da6e_00003,Validation
215,LSTM,0.1,1,ExperimentalLR,MSE,422.8977355957031,8,AdamW,1da6e_00003,Validation
216,LSTM,0.1,1,ExperimentalLR,RMSE,16.35389518737793,9,AdamW,1da6e_00003,Validation
217,LSTM,0.1,1,ExperimentalLR,MAPE,0.5061978697776794,9,AdamW,1da6e_00003,Validation
218,LSTM,0.1,1,ExperimentalLR,MAE,12.221661567687988,9,AdamW,1da6e_00003,Validation
219,LSTM,0.1,1,ExperimentalLR,MSE,420.233154296875,9,AdamW,1da6e_00003,Validation
220,LSTM,0.1,1,ExperimentalLR,RMSE,16.351139068603516,10,AdamW,1da6e_00003,Validation
221,LSTM,0.1,1,ExperimentalLR,MAPE,0.5060837864875793,10,AdamW,1da6e_00003,Validation
222,LSTM,0.1,1,ExperimentalLR,MAE,12.222017288208008,10,AdamW,1da6e_00003,Validation
223,LSTM,0.1,1,ExperimentalLR,MSE,419.9314880371094,10,AdamW,1da6e_00003,Validation
224,LSTM,0.1,1,ExperimentalLR,RMSE,16.35544204711914,10,AdamW,1da6e_00003,Test
225,LSTM,0.1,1,ExperimentalLR,MAPE,0.5063134431838989,10,AdamW,1da6e_00003,Test
226,LSTM,0.1,1,ExperimentalLR,MAE,12.219281196594238,10,AdamW,1da6e_00003,Test
227,LSTM,0.1,1,ExperimentalLR,MSE,420.6083068847656,10,AdamW,1da6e_00003,Test
228,LSTM,0.1,1,ExperimentalLR,RMSE,16.297718048095703,0,Adamax,1da6e_00004,Validation
229,LSTM,0.1,1,ExperimentalLR,MAPE,0.5015679597854614,0,Adamax,1da6e_00004,Validation
230,LSTM,0.1,1,ExperimentalLR,MAE,12.28437042236328,0,Adamax,1da6e_00004,Validation
231,LSTM,0.1,1,ExperimentalLR,MSE,407.32958984375,0,Adamax,1da6e_00004,Validation
232,LSTM,0.1,1,ExperimentalLR,RMSE,17.31366729736328,1,Adamax,1da6e_00004,Validation
233,LSTM,0.1,1,ExperimentalLR,MAPE,0.5358622670173645,1,Adamax,1da6e_00004,Validation
234,LSTM,0.1,1,ExperimentalLR,MAE,12.83864974975586,1,Adamax,1da6e_00004,Validation
235,LSTM,0.1,1,ExperimentalLR,MSE,478.8971252441406,1,Adamax,1da6e_00004,Validation
236,LSTM,0.1,1,ExperimentalLR,RMSE,17.307292938232422,2,Adamax,1da6e_00004,Validation
237,LSTM,0.1,1,ExperimentalLR,MAPE,0.5356732606887817,2,Adamax,1da6e_00004,Validation
238,LSTM,0.1,1,ExperimentalLR,MAE,12.831788063049316,2,Adamax,1da6e_00004,Validation
239,LSTM,0.1,1,ExperimentalLR,MSE,478.6242065429688,2,Adamax,1da6e_00004,Validation
240,LSTM,0.1,1,ExperimentalLR,RMSE,17.254777908325195,3,Adamax,1da6e_00004,Validation
241,LSTM,0.1,1,ExperimentalLR,MAPE,0.534125566482544,3,Adamax,1da6e_00004,Validation
242,LSTM,0.1,1,ExperimentalLR,MAE,12.774426460266112,3,Adamax,1da6e_00004,Validation
243,LSTM,0.1,1,ExperimentalLR,MSE,476.4005737304688,3,Adamax,1da6e_00004,Validation
244,LSTM,0.1,1,ExperimentalLR,RMSE,17.49724578857422,4,Adamax,1da6e_00004,Validation
245,LSTM,0.1,1,ExperimentalLR,MAPE,0.5412030220031738,4,Adamax,1da6e_00004,Validation
246,LSTM,0.1,1,ExperimentalLR,MAE,13.039949417114258,4,Adamax,1da6e_00004,Validation
247,LSTM,0.1,1,ExperimentalLR,MSE,486.5319519042969,4,Adamax,1da6e_00004,Validation
248,LSTM,0.1,1,ExperimentalLR,RMSE,17.25714111328125,5,Adamax,1da6e_00004,Validation
249,LSTM,0.1,1,ExperimentalLR,MAPE,0.5341965556144714,5,Adamax,1da6e_00004,Validation
250,LSTM,0.1,1,ExperimentalLR,MAE,12.776923179626465,5,Adamax,1da6e_00004,Validation
251,LSTM,0.1,1,ExperimentalLR,MSE,476.5033264160156,5,Adamax,1da6e_00004,Validation
252,LSTM,0.1,1,ExperimentalLR,RMSE,16.297718048095703,5,Adamax,1da6e_00004,Test
